Unnamed: 0,text
0,"<s><s>religion: You made me confess the fears that I have. But I will tell you also what I do not fear. I do not fear to be alone or to be spurned for another or to leave whatever I have to leave. And I am not afraid to make a mistake, even a great mistake, a lifelong mistake and perhaps as long as eternity too.</s></s>"
1,"<s><s>funny: I will never buy a fish tank, because I don't believe in supporting the funding of aquatic war machines.</s></s>"
2,"<s><s>love: And I still love you in my own fucked-up way. I miss you, I really do. Can we still be friends?</s></s>"
3,"<s><s>hope: I know we can't always know what medical surprises may happen during childbirth. But my hope is to go fully natural - no epidural, no interventions. Wish me luck.</s></s>"
4,<s><s>romance: Maybe 'Okay' will be our 'always'...</s></s>
5,<s><s>books: The books transported her into new worlds and introduced her to amazing people who lived exciting lives. She went on olden-day sailing ships with Joseph Conrad. She went to Africa with Ernest Hemingway and to India with Rudyard Kipling. She travelled all over the world while sitting in her little room in an English village.</s></s>
6,<s><s>positive: The purpose of quantum linguistics is to survey the spirit of linguistics and finding solutions to the common barrier problems faced by means of deliberate use of language.</s></s>
7,"<s><s>wisdom: The Shaod, it was called. The Transformation... When it came, the fortuante person's life ended and began anew; he would discard his old, mundane existence and move to Elantris. Elantris, where he could live in bliss, rule in wisdom, and be worshiped for eternity.Eternity ended ten years ago.</s></s>"
8,"<s><s>love: Last time I saw you, I said that it hurt too much to love you. But I was wrong about that. The truth is it hurts too much not to love you.</s></s>"
9,"<s><s>inspiration: Right now, we're living in an ugly chapter of our lives, but books always get better!</s></s>"
10,"<s><s>philosophy: Wheels of Change Discontentment is the wheels of change.You can either add some grease to bring about change faster,or run in front of them in protest,and be crushed by them.</s></s>"
11,<s><s>success: The thermometer of success is merely the jealousy of the malcontents.</s></s>
12,"<s><s>inspiration: If you always attach positive emotions to the things you want, and never attach negative emotions to the things you don't, then that which you desire most will invariably come your way.</s></s>"
13,<s><s>books: Honesty is the first chapter of the book wisdom.</s></s>
14,"<s><s>romance: Love is a game of tic-tac-toe,constantly waitingfor the next x or o.</s></s>"
15,"<s><s>motivation: I retired simply because I didn't have the passion and motivation anymore; I was tired. At the time I thought, 'Well, I had a great time, there is the end.' At some moment, there is the right time to call it an end.</s></s>"
16,"<s><s>love: When love is not madness, it is not love.</s></s>"
17,<s><s>knowledge: Everything I need to know... I learned in kindergarten.</s></s>
18,"<s><s>humor: I can't believe he didn't have the dignity and presence of mind just to get drunk and pass out in some gutter,""said Jace. ""I must say, I'm disappointed in the little fellow.</s></s>"
